Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,769.0,774.65,766.05,772.0,772.55,735005.0,5670.44
2015-01-02,773.0,795.8,771.0,794.8,792.2,2125479.0,16740.47
2015-01-05,796.5,804.9,789.8,793.4,793.9,2832814.0,22572.56
2015-01-06,788.55,788.8,768.35,770.0,771.65,2549801.0,19862.89
2015-01-07,770.0,776.0,754.25,758.6,757.35,3113425.0,23738.72
2015-01-08,770.0,774.5,761.0,770.15,769.15,2226121.0,17054.12
2015-01-09,780.0,782.3,751.35,763.1,763.85,2653088.0,20320.66
2015-01-12,766.0,781.0,758.5,780.0,777.85,1884698.0,14574.29
2015-01-13,785.5,798.75,776.0,784.85,781.75,3599571.0,28332.8
2015-01-14,787.95,793.0,775.2,786.45,786.7,6196743.0,48673.48
2015-01-15,818.0,825.0,807.0,809.0,813.2,6019271.0,49189.35
2015-01-16,813.5,818.7,800.0,804.0,802.65,4912721.0,39860.43
2015-01-19,809.95,827.25,806.3,826.0,824.95,2934392.0,23994.34
2015-01-20,827.0,862.95,827.0,861.5,858.35,4086867.0,34508.21
2015-01-21,861.0,880.0,848.5,853.9,855.2,4883563.0,42250.08
2015-01-22,859.0,862.9,841.4,855.95,852.0,2261484.0,19239.35
2015-01-23,864.4,881.75,857.5,877.15,876.2,3743139.0,32550.41
2015-01-27,880.0,885.0,862.2,880.7,882.85,3523622.0,30820.95
2015-01-28,881.2,895.0,874.35,882.4,883.8,3031156.0,26781.41
2015-01-29,879.05,887.9,872.0,874.0,874.25,3622135.0,31768.11
2015-01-30,878.0,885.95,857.0,862.0,862.45,3053839.0,26518.73
2015-02-02,858.95,858.95,819.05,833.55,832.2,8153338.0,67906.47
2015-02-03,839.9,840.7,801.0,801.5,807.15,5855579.0,48004.81
2015-02-04,811.0,821.9,791.6,795.25,802.35,3634656.0,29488.99
2015-02-05,800.8,827.0,794.0,810.85,807.85,3827363.0,31142.89
2015-02-06,810.0,819.9,798.1,813.0,810.8,3011414.0,24412.77
2015-02-09,805.0,807.5,791.0,792.95,796.55,2545399.0,20381.98
2015-02-10,789.7,829.8,734.0,821.8,817.8,4361045.0,35569.1
2015-02-11,820.0,835.0,820.0,826.1,826.55,2440387.0,20236.5
2015-02-12,824.2,841.2,815.25,840.0,839.1,2972844.0,24553.8
2015-02-13,842.0,845.0,831.25,834.0,835.05,2238555.0,18754.73
2015-02-16,839.5,839.55,812.1,813.5,815.65,2529380.0,20864.88
2015-02-18,816.0,824.85,806.15,821.25,819.65,2533793.0,20669.3
2015-02-19,823.5,827.2,802.6,810.95,813.35,2599640.0,21143.68
2015-02-20,813.9,832.0,804.0,830.0,825.05,2502316.0,20569.4
2015-02-23,841.0,841.8,806.75,807.65,811.0,3236131.0,26671.93
2015-02-24,812.0,812.0,795.0,799.45,800.35,3431020.0,27536.94
2015-02-25,803.0,810.65,793.0,793.9,794.85,3155023.0,25356.77
2015-02-26,795.0,801.15,780.1,784.7,783.6,4296954.0,33930.38
2015-02-27,789.9,824.5,786.1,823.0,820.8,3915772.0,31607.99
2015-02-28,829.5,868.25,812.0,866.6,861.95,5970510.0,50187.32
2015-03-02,875.0,888.5,865.05,880.0,882.5,5868224.0,51580.42
2015-03-03,884.9,885.0,865.0,877.55,878.65,2064553.0,18036.82
2015-03-04,906.05,908.95,849.8,852.3,856.65,4175246.0,36701.96
2015-03-05,855.0,864.9,842.5,855.8,856.7,2742124.0,23438.33
2015-03-09,845.0,848.8,821.25,823.0,824.15,2761990.0,23059.84
2015-03-10,825.95,846.0,816.95,830.15,827.6,3457282.0,28802.33
2015-03-11,828.0,833.3,816.4,822.5,822.9,2793968.0,23025.2
2015-03-12,829.0,833.5,819.6,822.5,823.2,1789222.0,14759.34
2015-03-13,831.25,832.9,797.5,804.8,803.35,2707676.0,22012.51
2015-03-16,807.0,819.9,797.5,817.25,813.85,2490471.0,20208.46
2015-03-17,821.5,838.8,816.5,837.6,833.2,2528372.0,20874.88
2015-03-18,837.0,858.9,828.8,854.7,855.7,4313163.0,36569.4
2015-03-19,863.0,870.6,825.35,827.1,834.0,3814090.0,32644.3
2015-03-20,828.95,842.0,816.55,832.7,832.05,3370878.0,27979.7
2015-03-23,836.4,839.0,823.6,827.05,829.2,1737770.0,14418.31
2015-03-24,828.7,836.0,812.2,821.75,822.65,4298524.0,35393.18
2015-03-25,823.0,827.0,804.0,806.05,806.5,2928184.0,23864.92
2015-03-26,801.0,823.0,792.05,810.0,806.35,8445122.0,67882.23
2015-03-27,812.8,822.0,783.2,818.1,816.0,5623118.0,45253.06
2015-03-30,819.35,827.7,815.0,822.65,822.95,2537412.0,20858.79
2015-03-31,827.7,833.9,810.8,811.95,815.75,2854952.0,23466.56
2015-04-01,812.2,851.0,808.1,849.3,847.75,2816508.0,23445.07
2015-04-06,850.05,857.8,841.0,846.0,845.9,2319517.0,19698.14
2015-04-07,852.5,852.5,835.45,839.05,840.8,2731165.0,23032.12
2015-04-08,843.8,843.8,819.0,821.35,820.6,3971834.0,33004.38
2015-04-09,826.0,843.8,821.85,841.6,841.7,3962373.0,33107.53
2015-04-10,846.45,850.4,838.05,840.5,842.6,2316823.0,19565.3
2015-04-13,843.9,846.8,835.65,838.55,841.7,1972159.0,16590.85
2015-04-15,844.3,864.0,836.0,843.05,845.65,3430368.0,29352.05
2015-04-16,848.65,854.6,835.4,848.0,850.8,2490976.0,21043.69
2015-04-17,850.35,850.35,806.2,808.0,809.4,4003026.0,33041.62
2015-04-20,812.9,815.7,775.05,787.0,787.9,4567680.0,36493.44
2015-04-21,782.65,803.0,771.8,783.75,783.75,3571923.0,28182.07
2015-04-22,790.0,801.6,776.2,794.5,796.05,6894513.0,54440.3
2015-04-23,805.0,855.0,804.9,851.6,851.3,13240793.0,110346.17
2015-04-24,854.0,854.7,820.5,825.5,823.95,5122626.0,42626.68
2015-04-27,827.8,830.2,803.85,807.8,811.1,3065049.0,24929.63
2015-04-28,808.8,831.8,805.5,824.0,826.45,4950845.0,40724.14
2015-04-29,824.0,844.9,820.0,835.75,834.55,3363122.0,28072.45
2015-04-30,831.6,848.8,826.95,844.4,839.45,6495111.0,54618.75
2015-05-04,847.0,859.2,840.0,853.0,853.9,2191718.0,18727.4
2015-05-05,852.0,865.55,849.2,857.0,857.45,2320372.0,19935.02
2015-05-06,850.0,854.0,817.0,819.3,821.05,3083251.0,25613.28
2015-05-07,819.8,819.8,788.2,794.45,798.4,3236113.0,26007.41
2015-05-08,806.5,829.5,803.45,826.55,826.1,3420271.0,28046.04
2015-05-11,832.0,848.4,827.0,843.35,844.35,2009782.0,16917.19
2015-05-12,843.5,843.5,819.0,821.0,822.65,2395023.0,19789.84
2015-05-13,826.0,849.75,825.6,842.0,840.75,3885205.0,32629.97
2015-05-14,839.4,845.0,826.4,837.25,838.8,3017462.0,25296.74
2015-05-15,844.4,864.3,841.6,849.95,849.55,3405396.0,29086.19
2015-05-18,853.7,868.8,852.05,868.3,864.55,2398380.0,20655.71
2015-05-19,864.0,877.75,858.0,861.5,864.05,3512777.0,30578.71
2015-05-20,866.7,879.0,866.0,873.6,874.8,2373602.0,20714.48
2015-05-21,869.95,871.0,852.9,860.8,860.8,1914694.0,16473.09
2015-05-22,863.8,872.5,861.2,865.65,866.85,1818249.0,15771.22
2015-05-25,867.0,868.25,850.55,852.05,852.7,1245685.0,10687.88
2015-05-26,856.2,864.5,845.25,863.85,860.75,1727408.0,14778.13
2015-05-27,848.0,874.0,848.0,870.5,870.9,1802375.0,15641.79
2015-05-28,871.7,875.9,856.1,860.95,859.05,3056727.0,26356.44
2015-05-29,860.7,884.35,860.7,882.7,882.3,2171914.0,19048.45
2015-06-01,884.9,897.5,878.1,879.1,879.55,2540825.0,22536.25
2015-06-02,882.95,883.05,841.35,845.0,845.7,3324043.0,28550.66
2015-06-03,843.0,843.7,825.0,830.6,829.4,4313922.0,35827.32
2015-06-04,835.0,835.9,820.25,827.0,827.15,3211097.0,26577.32
2015-06-05,827.0,841.0,818.15,821.0,823.4,2694390.0,22374.96
2015-06-08,830.0,830.5,815.55,823.5,822.6,2111209.0,17351.83
2015-06-09,822.9,835.5,818.2,821.05,823.2,2315267.0,19123.72
2015-06-10,823.0,836.4,823.0,831.05,833.45,1758441.0,14631.32
2015-06-11,840.0,843.45,802.0,803.0,804.6,3091667.0,25268.81
2015-06-12,798.9,810.85,794.0,806.0,805.45,3037849.0,24356.45
2015-06-15,811.9,815.0,798.05,801.8,803.55,1925893.0,15526.86
2015-06-16,804.0,819.0,796.1,817.85,815.5,2090544.0,16843.76
2015-06-17,820.0,823.7,811.6,816.3,817.1,2119030.0,17324.46
2015-06-18,810.5,828.4,807.15,823.7,824.65,3023062.0,24775.23
2015-06-19,826.0,834.75,822.0,833.2,829.9,1934474.0,16013.63
2015-06-22,835.8,864.0,835.1,858.9,859.4,3212501.0,27476.53
2015-06-23,860.9,869.8,855.8,865.85,866.4,2584079.0,22355.02
2015-06-24,861.0,873.8,852.5,854.0,860.05,1926650.0,16671.07
2015-06-25,857.4,865.0,848.0,861.5,858.65,1909350.0,16393.14
2015-06-26,852.0,855.6,839.6,850.95,850.75,1747922.0,14828.77
2015-06-29,833.0,840.0,824.0,837.0,837.55,2601782.0,21660.92
2015-06-30,839.0,846.0,834.05,844.8,843.85,2180251.0,18342.54
2015-07-01,843.9,871.5,841.65,867.0,867.05,2001672.0,17176.91
2015-07-02,868.0,878.0,867.0,868.9,869.7,2549172.0,22257.46
2015-07-03,869.8,874.55,862.2,871.75,871.35,1086835.0,9454.93
2015-07-06,859.7,870.7,855.0,870.0,869.55,1967910.0,16985.63
2015-07-07,870.0,877.9,856.25,861.95,862.0,1703393.0,14779.23
2015-07-08,850.0,852.65,792.2,795.0,797.5,10252144.0,83413.61
2015-07-09,809.0,820.0,795.0,799.65,799.8,6145893.0,49463.4
2015-07-10,807.95,814.35,804.0,809.0,809.85,2491651.0,20164.28
2015-07-13,815.0,820.1,788.0,814.95,814.5,4772312.0,38404.24
2015-07-14,815.0,821.9,806.0,807.85,812.0,2628540.0,21424.86
2015-07-15,811.7,815.0,801.0,804.6,804.3,2743543.0,22112.77
2015-07-16,808.0,835.7,804.8,829.6,830.35,5620133.0,46354.32
2015-07-17,821.0,836.0,812.0,821.45,824.55,4237191.0,34956.66
2015-07-20,825.9,827.0,814.0,816.15,817.95,2146826.0,17584.53
2015-07-21,820.0,822.55,805.05,808.55,807.65,1594342.0,12955.51
2015-07-22,807.0,824.9,801.1,822.0,823.1,2642907.0,21602.55
2015-07-23,822.0,832.0,815.05,821.0,820.35,1978468.0,16300.56
2015-07-24,821.0,827.5,806.0,809.9,808.15,2551913.0,20808.57
2015-07-27,808.0,809.35,782.25,785.4,785.3,3218572.0,25427.2
2015-07-28,787.95,799.95,784.1,797.95,794.95,2159373.0,17101.24
2015-07-29,801.9,821.0,796.0,814.9,816.1,6444679.0,52227.33
2015-07-30,822.0,825.9,808.8,813.35,812.5,3904096.0,31951.59
2015-07-31,817.9,840.8,814.1,829.5,828.95,4308235.0,35799.27
2015-08-03,834.95,840.9,824.25,826.5,833.25,3818215.0,31897.26
2015-08-04,831.5,843.5,825.05,843.25,841.65,3742828.0,31320.86
2015-08-05,844.0,846.45,829.2,831.0,830.6,1322980.0,11063.33
2015-08-06,833.0,836.4,825.0,826.3,827.6,1450696.0,12037.35
2015-08-07,828.0,829.7,819.35,822.05,821.45,1332890.0,10981.11
2015-08-10,824.0,834.3,812.1,813.45,816.75,2218316.0,18321.05
2015-08-11,820.0,823.0,797.0,800.6,798.65,2514120.0,20306.6
